scope,variable,n_minor,n_older,minor_mean,minor_sd,minor_median,older_mean,older_sd,older_median,minor_minus_older,test,statistic,effect_size,effect_size_name,p_value,test_note,p_value_fdr_bh,significant_fdr_0_05
subject_level,sess1_t15,6,12,0.8000000000000002,0.1264911064067352,0.75,0.5916666666666667,0.20652243256245834,0.6,0.20833333333333348,welch_t_test,2.641375056281101,1.0709701604362416,hedges_g,0.018465003588019172,,0.9365557811338273,False
subject_level,sess1_t13,6,12,0.7666666666666667,0.17511900715418263,0.75,0.5583333333333335,0.18319554050414563,0.5,0.20833333333333326,welch_t_test,2.3427726619987506,1.0979594664540862,hedges_g,0.03993281498187309,,0.9365557811338273,False
subject_level,sess2_t17_loseswitch,5,11,0.19,0.2073644135332772,0.2,0.47575757575757577,0.25748394085453136,0.5,-0.28575757575757577,welch_t_test,-2.3627555927184174,-1.1062784201770572,hedges_g,0.040570977704852434,,0.9365557811338273,False
subject_level,sess2_t16_winstay,5,11,0.9047619047619048,0.14677176197545183,1.0,0.6409090909090909,0.3275637034196246,0.75,0.2638528138528139,welch_t_test,2.224982368474753,0.8669559512180779,hedges_g,0.04307126770425583,,0.9365557811338273,False
subject_level,recovery_sd_hr,4,10,3.142350850428649,0.600398207624981,3.2531919157837947,5.724755616379666,3.547380735237095,4.644847716153043,-2.5824047659510168,welch_t_test,-2.2238072755040226,-0.7832079232984186,hedges_g,0.04991846966747894,,0.9365557811338273,False
subject_level,sess2_t10_winstay,5,11,0.8333333333333333,0.23570226039551584,1.0,0.5409090909090909,0.3087037087531988,0.6,0.29242424242424236,welch_t_test,2.07950475174692,0.9542491478032551,hedges_g,0.0637344349428532,,0.9365557811338273,False
subject_level,sess1_t6_winstay,6,12,0.8111111111111112,0.1655518269527927,0.8,0.6456349206349206,0.1993750112414742,0.6,0.16547619047619067,welch_t_test,1.864062380007311,0.8318404909419741,hedges_g,0.08693159861378216,,0.9365557811338273,False
subject_level,recovery_min_hr,4,10,70.5,3.7859388972001824,72.0,63.7,10.18768319535354,64.0,6.799999999999997,welch_t_test,1.8198334344412663,0.705480229696627,hedges_g,0.09381032415464294,,0.9365557811338273,False
session_2,learning_rate_k,5,11,0.16149989706708215,0.25109666753941945,0.0404305876735516,0.5410943772856673,0.6195142150603787,0.3587052719170175,-0.3795944802185852,welch_t_test,-1.7416875202010758,-0.6639777426833926,hedges_g,0.10352397449234123,,0.9365557811338273,False
subject_level,sess2_t10_loseswitch,5,11,0.31666666666666665,0.20749832663314555,0.3333333333333333,0.5378787878787878,0.2746807145569105,0.5,-0.2212121212121212,welch_t_test,-1.7785315438374332,-0.8129053597704979,hedges_g,0.10480810191992782,,0.9365557811338273,False
subject_level,sess1_t8,6,12,0.7166666666666667,0.2136976056643281,0.8,0.5333333333333334,0.18257418583505536,0.5,0.18333333333333324,welch_t_test,1.7986923354612527,0.9054274233744514,hedges_g,0.1064297104711912,,0.9365557811338273,False
subject_level,sess2_t6,5,11,0.7,0.2,0.6,0.509090909090909,0.17002673586554234,0.5,0.19090909090909092,welch_t_test,1.8518201713781126,1.007776320628948,hedges_g,0.10793179480498578,,0.9365557811338273,False
subject_level,sess1_t10,6,12,0.7000000000000001,0.18973665961010278,0.7,0.5333333333333333,0.2059714602177749,0.5,0.16666666666666674,welch_t_test,1.7067910221290539,0.7895492117044558,hedges_g,0.1161330111271701,,0.9365557811338273,False
subject_level,sess1_t10_winstay,6,12,0.7555555555555555,0.21875066137466156,0.7166666666666667,0.5818783068783069,0.1999535647018667,0.5714285714285714,0.17367724867724865,welch_t_test,1.6333054953818988,0.8028994446300612,hedges_g,0.1357071233937385,,0.9365557811338273,False
subject_level,sess2_t3_loseswitch,5,10,0.7,0.18257418583505536,0.6666666666666666,0.4883333333333334,0.3597023804051563,0.4,0.21166666666666656,welch_t_test,1.5117024343213483,0.6305076983017792,hedges_g,0.1546475722400321,,0.9365557811338273,False
subject_level,delta_slope,5,11,-0.006171310629514959,0.01373371262980719,0.0024767801857585,0.0047471620227037825,0.007857788715825324,0.0057791537667698,-0.010918472652218743,welch_t_test,-1.6585813487301722,-1.0428073570206362,hedges_g,0.15549156742491244,,0.9365557811338273,False
subject_level,sess2_t3_winstay,4,11,0.7638888888888888,0.22395160411940415,0.7777777777777777,0.556060606060606,0.22831176628956865,0.6,0.2078282828282828,welch_t_test,1.581125407607809,0.8605011206168935,hedges_g,0.1697593164537244,,0.9365557811338273,False
subject_level,vr_prep_sd_hr,5,11,6.0949436986568974,1.5523854096125056,5.836955838805893,7.69701818201102,2.874192912900789,7.170200210070122,-1.602074483354123,welch_t_test,-1.4427959444613374,-0.5900726433709184,hedges_g,0.17224819275894712,,0.9365557811338273,False
subject_level,sess1_t13_winstay,6,12,0.8138888888888888,0.2906729102285604,0.9166666666666667,0.6039682539682539,0.2745216287432357,0.7321428571428572,0.20992063492063484,welch_t_test,1.4711103966002061,0.7148605236685281,hedges_g,0.1733052088926691,,0.9365557811338273,False
subject_level,sess2_t4_winstay,5,11,0.76,0.27728845790780565,0.8,0.5098484848484849,0.39575557449955745,0.4,0.2501515151515151,welch_t_test,1.4535788114461077,0.6464701475700954,hedges_g,0.17387253023257918,,0.9365557811338273,False
subject_level,sess2_t12_winstay,5,11,0.8166666666666667,0.29107081994288303,1.0,0.5803030303030302,0.311521194376008,0.5,0.23636363636363644,welch_t_test,1.4724846269075187,0.7307327085907438,hedges_g,0.17757501812799797,,0.9365557811338273,False
subject_level,sess2_t8,5,11,0.7,0.18708286933869708,0.7,0.5454545454545455,0.2207425485203809,0.5,0.15454545454545443,welch_t_test,1.4455656882599532,0.690291785679524,hedges_g,0.18151552569008939,,0.9365557811338273,False
session_1,learning_rate_k,6,12,0.33254972282765777,0.3687690845750682,0.21663118696184175,0.6607108494102264,0.6494458364364053,0.5505183138764435,-0.32816112658256863,welch_t_test,-1.3648117811689275,-0.5420272391462159,hedges_g,0.1917459336377696,,0.9365557811338273,False
subject_level,sess2_t7,5,11,0.6799999999999999,0.19235384061671346,0.6,0.5363636363636364,0.22033033051637385,0.5,0.14363636363636356,welch_t_test,1.321539650979687,0.6384271465375043,hedges_g,0.21919646130905437,,0.9365557811338273,False
subject_level,sess2_t9_loseswitch,5,11,0.36428571428571427,0.4258844338789669,0.25,0.6439393939393939,0.26942738397195704,0.5714285714285714,-0.27965367965367965,welch_t_test,-1.3505789554907184,-0.8211612658983692,hedges_g,0.22960957464430679,,0.9365557811338273,False
subject_level,sess2_t12_loseswitch,5,11,0.3342857142857143,0.2333430513039476,0.4,0.5002164502164502,0.2667866535872089,0.5,-0.16593073593073593,welch_t_test,-1.2593565672558202,-0.6088296723121913,hedges_g,0.23989893103168922,,0.9365557811338273,False
subject_level,sess2_t4,5,11,0.66,0.1949358868961793,0.6,0.5272727272727273,0.20045403009622478,0.5,0.1327272727272727,welch_t_test,1.2512038855986858,0.6309300868031208,hedges_g,0.24609246804336113,,0.9365557811338273,False
subject_level,sess2_t6_winstay,5,11,0.73,0.37349698793966196,1.0,0.49090909090909096,0.29465537382133267,0.4285714285714285,0.23909090909090902,welch_t_test,1.263760220273042,0.7082307758863859,hedges_g,0.2505349933328458,,0.9365557811338273,False
subject_level,slope_pre,6,12,0.009855521155830735,0.01086795596535843,0.0087203302373581,0.0038355693154454415,0.0065554310527622525,0.00417956656346745,0.006019951840385293,welch_t_test,1.2480357158815514,0.7033012066130435,hedges_g,0.2528085749829948,,0.9365557811338273,False
subject_level,sess1_t17,6,12,0.6999999999999998,0.20976176963403032,0.6499999999999999,0.5666666666666668,0.26053557891157186,0.5,0.13333333333333308,welch_t_test,1.169865273842442,0.5166198122825212,hedges_g,0.26413930628488996,,0.9365557811338273,False
subject_level,sess1_t17_winstay,6,12,0.7658730158730158,0.26786155199192985,0.8333333333333333,0.6016865079365079,0.3014662419840772,0.6,0.1641865079365079,welch_t_test,1.1748066832860082,0.5366440827965903,hedges_g,0.2642724370938105,,0.9365557811338273,False
subject_level,sess2_t17_winstay,5,11,0.8,0.282842712474619,1.0,0.6140692640692641,0.30795473086914527,0.6,0.18593073593073595,welch_t_test,1.1849342209953473,0.5840289730734284,hedges_g,0.2681632671706576,,0.9365557811338273,False
subject_level,sess2_t6_loseswitch,5,11,0.5666666666666667,0.11547005383792512,0.6,0.4606060606060606,0.25465365665641804,0.5,0.10606060606060608,welch_t_test,1.1462171756756283,0.44786432409653065,hedges_g,0.27098079187726715,,0.9365557811338273,False
subject_level,overall_winstay_sess2,5,11,0.711382290743283,0.24207867466204383,0.6341463414634146,0.5673678932609989,0.17837566220782367,0.5168539325842697,0.14401439748228406,welch_t_test,1.1913433493108145,0.6853465165035626,hedges_g,0.27800863715683505,,0.9365557811338273,False
session_1,mean_accuracy,6,12,0.6527777777777778,0.15617930499474625,0.6194444444444445,0.5731481481481481,0.1340643540573205,0.5444444444444444,0.07962962962962972,welch_t_test,1.0676189087803782,0.5365342005881487,hedges_g,0.31404477579819456,,0.9365557811338273,False
subject_level,auc_sess1,6,12,11.75,2.811227489905433,11.149999999999999,10.316666666666668,2.413158373031769,9.8,1.4333333333333318,welch_t_test,1.0676189087803756,0.5365342005881476,hedges_g,0.31404477579819606,,0.9365557811338273,False
subject_level,baseline_min_hr,6,12,73.83333333333333,9.806460455570434,71.0,68.16666666666667,12.61912929811024,68.5,5.666666666666657,welch_t_test,1.0469087486230375,0.456880502837272,hedges_g,0.3146013809056895,,0.9365557811338273,False
subject_level,sess2_t1,5,11,0.4600000000000001,0.21908902300206645,0.4,0.34545454545454546,0.12933395813657264,0.3,0.11454545454545462,welch_t_test,1.0862068965517249,0.6760369077122858,hedges_g,0.32418298121310757,,0.9365557811338273,False
subject_level,median_sess1,6,12,0.6666666666666666,0.18618986725025255,0.6,0.5750000000000001,0.15447859516333118,0.5,0.09166666666666656,welch_t_test,1.0401624374476448,0.5289588771100104,hedges_g,0.32671016278877424,,0.9365557811338273,False
subject_level,sess1_t11,6,12,0.7333333333333334,0.21602468994692867,0.75,0.6333333333333332,0.13706888336846837,0.6,0.1000000000000002,welch_t_test,1.034538675096429,0.5743073230052652,hedges_g,0.33489871650170455,,0.9365557811338273,False
subject_level,vr_speech_sd_hr,6,12,7.010429010810704,2.2416540688220596,7.028850107475019,5.907832120445247,2.072850812360112,5.980200424536508,1.102596890365457,welch_t_test,1.0083953320433359,0.49368681239392614,hedges_g,0.33849632632916515,,0.9365557811338273,False
subject_level,auc_sess2,5,11,11.56,3.6651057283521853,9.9,9.681818181818182,2.5083134500369693,9.499999999999998,1.8781818181818188,welch_t_test,1.0404574119838566,0.615181091900117,hedges_g,0.3396810343208422,,0.9365557811338273,False
session_2,mean_accuracy,5,11,0.6422222222222221,0.2036169849084547,0.55,0.5378787878787878,0.13935074722427607,0.5277777777777778,0.1043434343434343,welch_t_test,1.0404574119838559,0.6151810919001166,hedges_g,0.33968103432084246,,0.9365557811338273,False
subject_level,sess2_t18_winstay,5,11,0.7666666666666667,0.32489314482696546,1.0,0.5878787878787879,0.3402687588992388,0.75,0.17878787878787883,welch_t_test,1.005174912874024,0.5031613332441026,hedges_g,0.34364955646354106,,0.9365557811338273,False
subject_level,sess1_t6,6,12,0.6333333333333334,0.2160246899469287,0.6499999999999999,0.5333333333333333,0.19694638556693236,0.55,0.10000000000000009,welch_t_test,0.9530251207255486,0.4689199656355536,hedges_g,0.3647145374690013,,0.9365557811338273,False
subject_level,sess2_t10,5,11,0.7,0.25495097567963926,0.7,0.5727272727272728,0.2195035721390843,0.6,0.1272727272727272,welch_t_test,0.9654024559968226,0.5227466829338546,hedges_g,0.36723075764898455,,0.9365557811338273,False
